Date,Open,High,Low,Close
04/10/2025,"4.011%","4.073%","3.902%","3.906%"
04/09/2025,"3.961%","4.037%","3.850%","4.011%"
04/08/2025,"3.984%","4.039%","3.892%","3.961%"
04/07/2025,"3.939%","4.136%","3.809%","3.984%"
04/04/2025,"4.020%","4.020%","3.872%","3.939%"
04/03/2025,"4.166%","4.166%","3.992%","4.020%"
04/02/2025,"4.192%","4.212%","4.124%","4.166%"
04/01/2025,"4.206%","4.207%","4.133%","4.192%"
03/31/2025,"4.204%","4.213%","4.146%","4.206%"
03/28/2025,"4.274%","4.274%","4.201%","4.204%"
03/27/2025,"4.267%","4.355%","4.255%","4.274%"
03/26/2025,"4.303%","4.308%","4.207%","4.267%"
03/25/2025,"4.263%","4.317%","4.260%","4.303%"
03/24/2025,"4.267%","4.299%","4.197%","4.263%"
03/21/2025,"4.240%","4.297%","4.225%","4.267%"
03/20/2025,"4.206%","4.282%","4.140%","4.240%"
03/19/2025,"4.201%","4.239%","4.181%","4.206%"
03/18/2025,"4.191%","4.256%","4.191%","4.201%"
03/17/2025,"4.201%","4.213%","4.149%","4.191%"
03/14/2025,"4.169%","4.238%","4.166%","4.201%"
03/13/2025,"4.220%","4.249%","4.153%","4.169%"
03/12/2025,"4.153%","4.248%","4.150%","4.220%"
03/11/2025,"4.189%","4.219%","4.145%","4.153%"
03/10/2025,"4.196%","4.213%","4.152%","4.189%"
03/07/2025,"4.217%","4.255%","4.136%","4.196%"
03/06/2025,"4.287%","4.340%","4.198%","4.217%"
03/05/2025,"4.191%","4.311%","4.191%","4.287%"
03/04/2025,"4.192%","4.195%","4.109%","4.191%"
03/03/2025,"4.192%","4.253%","4.153%","4.192%"
02/28/2025,"4.174%","4.214%","4.143%","4.192%"
02/27/2025,"4.184%","4.210%","4.159%","4.174%"
02/26/2025,"4.182%","4.218%","4.134%","4.184%"
02/25/2025,"4.238%","4.238%","4.133%","4.182%"
02/24/2025,"4.238%","4.260%","4.192%","4.238%"
02/21/2025,"4.282%","4.294%","4.212%","4.238%"
02/20/2025,"4.279%","4.323%","4.249%","4.282%"
02/19/2025,"4.234%","4.309%","4.234%","4.279%"
02/18/2025,"4.198%","4.260%","4.198%","4.234%"
02/17/2025,"4.209%","4.308%","4.176%","4.198%"
02/14/2025,"4.192%","4.231%","4.158%","4.209%"
02/13/2025,"4.212%","4.246%","4.149%","4.192%"
02/12/2025,"4.190%","4.275%","4.178%","4.212%"
02/11/2025,"4.147%","4.214%","4.140%","4.190%"
02/10/2025,"4.177%","4.188%","4.113%","4.147%"
02/07/2025,"4.176%","4.223%","4.116%","4.177%"
02/06/2025,"4.148%","4.190%","4.057%","4.176%"
02/05/2025,"4.182%","4.182%","4.106%","4.148%"
02/04/2025,"4.167%","4.248%","4.167%","4.182%"
02/03/2025,"4.232%","4.236%","4.097%","4.167%"
01/31/2025,"4.265%","4.277%","4.194%","4.232%"
01/30/2025,"4.339%","4.339%","4.248%","4.265%"
01/29/2025,"4.323%","4.342%","4.267%","4.339%"
01/28/2025,"4.291%","4.327%","4.264%","4.323%"
01/27/2025,"4.329%","4.348%","4.260%","4.291%"
01/24/2025,"4.329%","4.367%","4.274%","4.329%"
01/23/2025,"4.377%","4.398%","4.299%","4.329%"
01/22/2025,"4.338%","4.382%","4.288%","4.377%"
01/21/2025,"4.368%","4.402%","4.299%","4.338%"
01/20/2025,"4.371%","4.421%","4.349%","4.368%"
01/17/2025,"4.389%","4.393%","4.310%","4.371%"
01/16/2025,"4.458%","4.481%","4.330%","4.389%"
01/15/2025,"4.608%","4.608%","4.405%","4.458%"
01/14/2025,"4.610%","4.619%","4.560%","4.608%"
01/13/2025,"4.539%","4.610%","4.539%","4.610%"
01/10/2025,"4.534%","4.608%","4.508%","4.539%"
01/09/2025,"4.517%","4.601%","4.467%","4.534%"
